mutantIndex;mutantType;copyingTime;mutationTime;buildingTime
1;10;22;0;0
2;5;17;0;0
3;10;15;0;0
4;10;12;0;0
5;10;14;0;0
6;10;16;0;0
7;10;14;0;0
8;10;14;0;0
9;10;14;0;0
10;10;17;0;0
11;10;16;0;0
12;10;27;0;0
13;10;22;0;0
14;10;15;0;0
15;10;15;0;0
16;10;20;0;0
17;10;16;0;0
18;10;17;0;0
19;10;18;0;0
20;10;40;0;0
21;10;27;0;0
22;10;41;0;0
23;10;42;0;0
24;10;39;0;0
25;10;41;0;0
26;10;23;0;0
27;10;39;0;0
28;10;51;0;0
29;10;17;0;0
30;10;28;0;0
31;10;28;0;0
32;10;30;0;0
33;10;29;0;0
34;10;19;0;0
35;10;23;0;0
36;10;28;0;0
37;10;18;0;0
38;10;20;0;0
39;10;16;0;0
40;10;26;0;0
41;10;185;0;0
42;10;36;0;0
43;10;61;0;0
44;10;59;0;0
45;10;37;0;0
46;10;57;0;0
47;10;61;0;0
48;10;59;0;0
49;10;36;0;0
50;10;67;0;0
2;5;0;2;7740
1;10;0;15;7899
3;10;0;2;7912
11;10;0;2;7829
8;10;0;2;8021
9;10;0;2;8061
4;10;0;1;8169
5;10;0;2;8234
10;10;0;2;8184
6;10;0;2;8294
7;10;0;2;8365
12;10;0;2;8274
13;10;0;3;7959
14;10;0;1;8203
16;10;0;2;8121
17;10;0;7;8392
15;10;0;2;8632
20;10;0;2;8321
18;10;0;2;8491
19;10;0;4;8472
24;10;0;2;8273
21;10;0;1;8508
23;10;0;4;8512
22;10;0;1;8869
25;10;0;1;9321
26;10;0;3;9420
27;10;0;2;9505
28;10;0;1;9212
31;10;0;1;9589
32;10;0;2;9698
34;10;0;1;9601
36;10;0;2;9377
33;10;0;2;9861
30;10;0;5;10077
29;10;0;2;10165
35;10;0;2;9815
37;10;0;8;9715
38;10;0;1;10077
40;10;0;1;10160
39;10;0;8;10416
46;10;0;7;9735
41;10;0;6;10270
42;10;0;2;10182
43;10;0;2;10165
45;10;0;3;10224
44;10;0;2;10343
47;10;0;4;10250
48;10;0;1;10339
49;10;0;1;3673
50;10;0;9;2917
